県番号,都道府県名,系番号,緯度,経度
2,青森県,10,40,140.8333333
3,岩手県,10,40,140.8333333
4,宮城県,10,40,140.8333333
5,秋田県,10,40,140.8333333
6,山形県,10,40,140.8333333
7,福島県,9,36,139.8333333
8,茨城県,9,36,139.8333333
9,栃木県,9,36,139.8333333
10,群馬県,9,36,139.8333333
11,埼玉県,9,36,139.8333333
12,千葉県,9,36,139.8333333
13,東京都,9,36,139.8333333
14,神奈川県,9,36,139.8333333
15,新潟県,8,36,138.5
16,富山県,7,36,137.1666667
17,石川県,7,36,137.1666667
18,福井県,6,36,136
19,山梨県,8,36,138.5
20,長野県,8,36,138.5
21,岐阜県,7,36,137.1666667
22,静岡県,8,36,138.5
23,愛知県,7,36,137.1666667
24,三重県,6,36,136
25,滋賀県,6,36,136
26,京都府,6,36,136
27,大阪府,6,36,136
28,兵庫県,5,36,134.3333333
29,奈良県,6,36,136
30,和歌山県,6,36,136
31,鳥取県,5,36,134.3333333
32,島根県,3,36,132.1666667
33,岡山県,5,36,134.3333333
34,広島県,3,36,132.1666667
35,山口県,3,36,132.1666667
36,徳島県,4,33,133.5
37,香川県,4,33,133.5
38,愛媛県,4,33,133.5
39,高知県,4,33,133.5
40,福岡県,2,33,131
41,佐賀県,2,33,131
42,長崎県,1,33,129.5
43,熊本県,2,33,131
44,大分県,2,33,131
45,宮崎県,2,33,131
46,鹿児島県,2,33,131
47,沖縄県,15,26,127.5
